,value,date,ipc_type,base,base_log,dlog,year,month,quarter,sa_component,sa,log_sa,dlog_sa,forecast_dlog_sa,MoM_sa_final
400,101.69,2009-03-01,Продовольственный ИПЦ,3.2358995037115528,1.174306943000642,0.016758783814954548,2009.0,3.0,1.0,0.05424047792258803,3.1816590257889645,1.1574027669736524,0.007739842785996043,,101.00776987279502
401,100.69,2009-04-01,Продовольственный ИПЦ,3.258227210287162,1.1811832469400743,0.006876303939432171,2009.0,4.0,2.0,0.0655693282337494,3.1926578820534126,1.1608537617513663,0.003450994777713934,,101.00345695631597
402,100.66,2009-05-01,Продовольственный ИПЦ,3.2797315098750572,1.1877615623001967,0.006578315360122433,2009.0,5.0,2.0,0.06139957896691109,3.218331930908146,1.1688631914509513,0.008009429699584958,,101.00804159098882
403,100.51,2009-06-01,Продовольственный ИПЦ,3.2964581405754205,1.192848601348754,0.00508703904855734,2009.0,6.0,2.0,0.04286967842346483,3.2535884621519555,1.1797585294255746,0.010895337974623276,,101.01095490831919
404,100.55,2009-07-01,Продовольственный ИПЦ,3.3145886603485857,1.1983335315793238,0.005484930230569729,2009.0,7.0,3.0,0.014107868949661337,3.3004807913989245,1.194068152223352,0.014309622797777477,,101.01441249555451
405,99.11,2009-08-01,Продовольственный ИПЦ,3.2850888212714833,1.1893936900098496,-0.008939841569474138,2009.0,8.0,3.0,-0.04409667287944803,3.329185494150931,1.2027276777227145,0.008659525499362442,,101.00869712765086
406,99.21,2009-09-01,Продовольственный ИПЦ,3.2591366195834386,1.1814623196835692,-0.00793137032628044,2009.0,9.0,3.0,-0.07136836499451807,3.330504984577957,1.2031239395155129,0.00039626179279839135,,101.00039634031488
407,99.47,2009-10-01,Продовольственный ИПЦ,3.2418631954996466,1.1761482248598005,-0.005314094823768656,2009.0,10.0,4.0,-0.0658376892754864,3.3077008847751332,1.1962533513002156,-0.006870588215297291,,100.9931529603143
408,100.27,2009-11-01,Продовольственный ИПЦ,3.2506162261274953,1.178844586407543,0.002696361547742443,2009.0,11.0,4.0,-0.054487717453309936,3.3051039435808054,1.1954679232117604,-0.0007854280884551645,,100.99921488027945
409,100.55,2009-12-01,Продовольственный ИПЦ,3.2684946153711967,1.1843295166381127,0.005484930230569729,2009.0,12.0,4.0,-0.03193432728073377,3.3004289426519304,1.1940524426472225,-0.0014154805645378854,,100.99858552075557
410,101.42,2010-01-01,Продовольственный ИПЦ,3.3149072389094676,1.1984296410168944,0.01410012437878172,2010.0,1.0,1.0,0.004544730170589058,3.3103625087388786,1.1970577026486344,0.00300526000141188,,101.00300978032236
411,101.26,2010-02-01,Продовольственный ИПЦ,3.3566750701197265,1.210950921570566,0.012521280553671632,2010.0,2.0,1.0,0.024993109216532475,3.331681960903194,1.2034772698399585,0.006419567191324083,,101.00644021677627
412,101.03,2010-03-01,Продовольственный ИПЦ,3.3912488233419595,1.2211982380221156,0.010247316451549526,2010.0,3.0,1.0,0.05424047792258803,3.3370083454193713,1.2050747006409588,0.001597430801000277,,101.00159870737323
413,100.3,2010-04-01,Продовольственный ИПЦ,3.401422569811985,1.2241937470019137,0.002995508979798167,2010.0,4.0,2.0,0.0655693282337494,3.3358532415782354,1.204728491196146,-0.00034620944481278393,,100.99965385047877
414,100.69,2010-05-01,Продовольственный ИПЦ,3.4248923855436875,1.231070050941346,0.006876303939432171,2010.0,5.0,2.0,0.06139957896691109,3.3634928065767764,1.2129799598092508,0.008251468613104773,,101.00828560580965
415,100.54,2010-06-01,Продовольственный ИПЦ,3.4433868044256237,1.236455523217684,0.00538547227633801,2010.0,6.0,2.0,0.04286967842346483,3.4005171260021587,1.2239275159396974,0.010947556130446623,,101.01100769989844
416,100.31,2010-07-01,Продовольственный ИПЦ,3.4540613035193437,1.2395507281249865,0.003095204907302529,2010.0,7.0,3.0,0.014107868949661337,3.4399534345696825,1.2354579348313866,0.011530418891689154,,101.01159715040573
417,100.9,2010-08-01,Продовольственный ИПЦ,3.485147855251018,1.2485104694964584,0.00895974137147193,2010.0,8.0,3.0,-0.04409667287944803,3.529244528130466,1.2610838333468737,0.025625898515487133,,101.02595706461123
418,101.62,2010-09-01,Продовольственный ИПЦ,3.5416072505060843,1.264580649673953,0.01607018017749451,2010.0,9.0,3.0,-0.07136836499451807,3.6129756155006025,1.2845317030424241,0.02344786969555046,,101.02372493226319
419,100.7,2010-10-01,Продовольственный ИПЦ,3.566398501259627,1.271556263410378,0.00697561373642519,2010.0,10.0,4.0,-0.0658376892754864,3.6322361905351137,1.2898484890583366,0.005316786015912456,,101.00533094520536
420,101.35,2010-11-01,Продовольственный ИПЦ,3.6145448810266316,1.2849659503202957,0.013409686909917617,2010.0,11.0,4.0,-0.054487717453309936,3.6690325984799417,1.299928030174215,0.010079541115878499,,101.01013051079683
421,102.07,2010-12-01,Продовольственный ИПЦ,3.6893659600638826,1.3054546167476113,0.020488666427315616,2010.0,12.0,4.0,-0.03193432728073377,3.7213002873446164,1.3140731468190856,0.014145116644870503,,101.0142456321828
422,102.6,2011-01-01,Продовольственный ИПЦ,3.7852894750255435,1.331122363496189,0.025667746748577747,2011.0,1.0,1.0,0.004544730170589058,3.7807447448549545,1.3299210126735233,0.01584786585443765,,101.01597410929521
423,101.22,2011-02-01,Продовольственный ИПЦ,3.831470006620855,1.3432485432940295,0.012126179797840475,2011.0,2.0,1.0,0.024993109216532475,3.8064768974043224,1.3367040624968807,0.006783049823357423,,101.00680610680855
424,100.94,2011-03-01,Продовольственный ИПЦ,3.8674858246830914,1.3526046382180545,0.009356094924025005,2011.0,3.0,1.0,0.05424047792258803,3.813245346760503,1.3384806236153812,0.0017765611185005525,,101.00177814013814
425,100.36,2011-04-01,Продовольственный ИПЦ,3.881408773651951,1.356198173728185,0.003593535510130419,2011.0,4.0,2.0,0.0655693282337494,3.8158394454182014,1.3391606786490684,0.0006800550336871769,,101.00068028632354
426,100.03,2011-05-01,Продовольственный ИПЦ,3.882573196284046,1.356498128737183,0.0002999550089979319,2011.0,5.0,2.0,0.06139957896691109,3.821173617317135,1.3405576050972863,0.0013969264482178723,,101.00139790260445
427,99.75,2011-06-01,Продовольственный ИПЦ,3.8728667632933362,1.3539949985190642,-0.0025031302181186543,2011.0,6.0,2.0,0.04286967842346483,3.8299970848698712,1.342864042061683,0.0023064369643968075,,101.00230909883622
428,99.29,2011-07-01,Продовольственный ИПЦ,3.845369409273954,1.3468696735764758,-0.00712532494258844,2011.0,7.0,3.0,0.014107868949661337,3.831261540324293,1.3431941328542703,0.00033009079258716767,,101.00033014527855
429,98.63,2011-08-01,Продовольственный ИПЦ,3.7926878483669006,1.3330749625542866,-0.01379471102218921,2011.0,8.0,3.0,-0.04409667287944803,3.8367845212463485,1.344634651555584,0.0014405187013137866,,101.00144155674676
430,99.35,2011-09-01,Продовольственный ИПЦ,3.7680353773525157,1.326553745564021,-0.006521216990265533,2011.0,9.0,3.0,-0.07136836499451807,3.839403742347034,1.3453170791126978,0.000682427557113785,,101.00068266046378
